Código do Municipio,Mesorregião,Nome_Mesorregião,Microrregião,Nome_Microrregião,Cidade,UF,1970,1980,1991,2000,2007,População,Homens,Mulheres,Urbana,Rural,Crescimento anual desde 2000
1200013,1202,Vale do Acre,12004,Rio Branco,Acrelândia,AC,,,,7935,11520,12538,6597,5941,5916,6622,4.68%
1200054,1202,Vale do Acre,12005,Brasiléia,Assis Brasil,AC,,1367,2917,3490,5351,6075,3091,2984,3703,2372,5.70%
1200104,1202,Vale do Acre,12005,Brasiléia,Brasiléia,AC,12311,13907,20263,17013,19065,21438,11060,10378,14299,7139,2.34%
1200138,1202,Vale do Acre,12004,Rio Branco,Bujari,AC,,,,5826,6543,8474,4560,3914,3681,4793,3.82%
1200179,1202,Vale do Acre,12004,Rio Branco,Capixaba,AC,,,,5206,8446,8810,4658,4152,3928,4882,5.40%
1200203,1201,Vale do Juruá,12001,Cruzeiro do Sul,Cruzeiro do Sul,AC,43584,50472,66603,67441,73948,78444,39185,39259,55259,23185,1.52%
1200252,1202,Vale do Acre,12005,Brasiléia,Epitaciolândia,AC,,,,11028,13434,15126,7636,7490,10622,4504,3.21%
1200302,1201,Vale do Juruá,12002,Tarauacá,Feijó,AC,15768,19569,17769,26722,31288,32311,16660,15651,16635,15676,1.92%
1200328,1201,Vale do Juruá,12002,Tarauacá,Jordão,AC,,,,4454,6059,6531,3396,3135,2265,4266,3.90%
1200336,1201,Vale do Juruá,12001,Cruzeiro do Sul,Mâncio Lima,AC,,7374,10217,11095,13785,15246,7856,7390,8782,6464,3.23%
1200344,1202,Vale do Acre,12003,Sena Madureira,Manoel Urbano,AC,,5936,5327,6374,7148,7989,4256,3733,5285,2704,2.28%
1200351,1201,Vale do Juruá,12001,Cruzeiro do Sul,Marechal Thaumaturgo,AC,,,,8295,13061,14200,7437,6763,3971,10229,5.52%
1200385,1202,Vale do Acre,12004,Rio Branco,Plácido de Castro,AC,,9253,15535,15172,17258,17203,8997,8206,10390,6813,1.26%
1200393,1201,Vale do Juruá,12001,Cruzeiro do Sul,Porto Walter,AC,,,,5485,8170,9172,4791,4381,3317,5855,5.28%
1200401,1202,Vale do Acre,12004,Rio Branco,Rio Branco,AC,83977,117101,197376,253059,290639,335796,163396,172400,308418,27378,2.87%
1200427,1201,Vale do Juruá,12001,Cruzeiro do Sul,Rodrigues Alves,AC,,,,8093,12428,14334,7450,6884,4325,10009,5.88%
1200435,1202,Vale do Acre,12003,Sena Madureira,Santa Rosa do Purus,AC,,,,2246,3948,4612,2373,2239,1894,2718,7.46%
1200450,1202,Vale do Acre,12004,Rio Branco,Senador Guiomard,AC,,9707,17489,19761,18863,20153,10328,9825,12670,7483,0.20%
1200500,1202,Vale do Acre,12003,Sena Madureira,Sena Madureira,AC,22470,23541,24197,29420,34230,37993,19704,18289,25132,12861,2.59%
1200609,1201,Vale do Juruá,12002,Tarauacá,Tarauacá,AC,23862,28362,27659,26037,32171,35526,18317,17209,19363,16163,3.16%
1200708,1202,Vale do Acre,12005,Brasiléia,Xapuri,AC,13327,14687,12366,11956,14314,16016,8310,7706,10270,5746,2.97%
1200807,1202,Vale do Acre,12004,Rio Branco,Porto Acre,AC,,,,11418,13716,14806,7806,7000,1955,12851,2.63%
2700102,2701,Sertão Alagoano,27001,Serrana do Sertão Alagoano,Água Branca,AL,22620,25159,26560,18660,19316,19376,9650,9726,5100,14276,0.38%
2700201,2703,Leste Alagoano,27012,São Miguel dos Campos,Anadia,AL,12586,14833,16337,17849,17274,17423,8563,8860,8950,8473,-0.24%
2700300,2702,Agreste Alagoano,27006,Arapiraca,Arapiraca,AL,94287,136178,164921,186466,202398,214067,101901,112166,181562,32505,1.39%
2700409,2703,Leste Alagoano,27009,Mata Alagoana,Atalaia,AL,40075,41766,38563,40552,50323,44379,22230,22149,22451,21928,0.91%
2700508,2703,Leste Alagoano,27011,Maceió,Barra de Santo Antônio,AL,6028,9696,14334,11351,13731,14228,7076,7152,13240,988,2.28%
