Tipo,Município Beneficiado,Proponente,Tipo,Data de seleção,Previsto até e pós 2010,Estágio
Saneamento,Americana,Município,Ampliação do SES do Distrito Industrial,6/7/2010," R$ 1.083.300,00 ",Em Obra
Saneamento,Americana,Município,"Ampliação do SES nos bairros Vila Medon, Residencial Nardini, Centro, Brasília e Jardim São Paulo",6/7/2010," R$ 4.432.000,00 ",Em Obra
Saneamento,Americana,Município,Drenagem - execução da retificação e canalização do Córrego do Parque,6/9/2010," R$ 30.127.400,00 ",Em Contratação
Saneamento,Americana,Município,Drenagem - execução de canalização do Córrego São Manoel - trecho entre a Avenida Paschoal Ardito e a Avenida São Gabriel,6/9/2010," R$ 8.900.000,00 ",Em Contratação
Saneamento,Americana,Município,"Drenagem - execução de canalização do Córrego do Pyles, afluente do Ribeirão do Quilombo",6/9/2010," R$ 14.813.900,00 ",Em Contratação
Saneamento,Americana,Município,Drenagem - implantação do parque linear às margens do Ribeirão Quilombo,6/9/2010," R$ 12.339.800,00 ",Em Contratação
Saneamento,Arapeí,Sabesp,Ampliação do SES- rede coletora e implantação de ETE - sede municipal,fev/07," R$ 4.591.300,00 ",Em Obra
Saneamento,Araraquara,Município,Ampliação do SAA na sede municipal - ampliação do sistema de produção de água de Poço do Ouro,6/7/2010," R$ 5.011.200,00 ",Em Obra
Saneamento,Araraquara,Município,Ampliação do SAA na sede municipal - implantação do sistema de tratamento de lodo da ETA Fonte,6/7/2010," R$ 1.396.100,00 ",Concluída
Saneamento,Araraquara,Município,"Ampliação do SAA no Portal das Laranjeiras, Cociza, Idanorma, Distrito Industrial, Omar Maksoud e Chácara Flora - rede de distribuição de água",6/7/2010," R$ 1.968.500,00 ",Concluída
Saneamento,Araraquara,Município,"Ampliação do SES no Portal das Laranjeiras, Cociza, Idanorma, Distrito Industrial, Omar Maksoud e Chácara Flora - rede coletora de esgotos",6/7/2010," R$ 2.873.400,00 ",Em Obra
Saneamento,Araraquara,Município,Melhoria e ampliação da ETE Araraquara,6/7/2010," R$ 4.335.800,00 ",Em Obra
Saneamento,Arujá,Sabesp,Ampliação do SAA na sede municipal - estação elevatória e rede de distribuição de água,1/8/2010," R$ 2.741.000,00 ",Em licitação da obra
Saneamento,Arujá,Sabesp,"Implantação do SES no Bairro Jardim Pinheiro - redes coletoras, ligações e coletor-tronco",1/8/2010," R$ 3.829.900,00 ",Em Obra
Saneamento,Arujá,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08," R$ 327.900,00 ",Ação Preparatória
Saneamento,Assis,Sabesp,Ampliação do SES - ETE Jacu - sede municipal,1/8/2010," R$ 1.155.000,00 ",Em licitação da obra
Saneamento,Assis,Município,"Drenagem - canalização de córregos e galerias de águas pluviais no Jardim Eldorado, Jardim Amaury, Jardim San Fernando Valley, área Central, Assis III e Assis IV",fev/07," R$ 14.934.100,00 ",Em Obra
Saneamento,Atibaia,Município,"Adequação do SAA na sede municipal para controle de perdas - cadastro técnico, limpeza e substituição de tubulação",1/8/2010," R$ 1.000.000,00 ",Em licitação da obra
Saneamento,Atibaia,Município,Ampliação do SAA - implantação da ETA do sistema central e adutora de água bruta,set/09," R$ 29.053.100,00 ",Em Contratação
Saneamento,Atibaia,Município,"Ampliação do SAA no Bairro do Portão - reservatório, rede, estação elevatória de água",1/8/2010," R$ 700.000,00 ",Em licitação da obra
Saneamento,Atibaia,Município,"Ampliação do SES no Bairro Caetetuba - ETE Caetetuba, coletor-tronco, ligaçõe prediais",1/8/2010," R$ 8.100.000,00 ",Ação Preparatória
Saneamento,Atibaia,Município,"Drenagem - execução de canalização dos córregos Estoril, Feira Permanente e Pintos II",fev/07," R$ 4.531.000,00 ",Em Obra
Saneamento,Atibaia,Município,Elaboração do plano municipal de saneamento,1/8/2010," R$ 400.000,00 ",Em licitação da obra
Saneamento,Atibaia,Município,Resíduos Sólidos - obras e serviços na central de triagem e transbordo de resíduos sólidos,1/8/2010," R$ 1.850.000,00 ",Em Obra
Saneamento,Avaré,Sabesp,Ampliação do SAA - perfuração de poço profundo - Poço P10,1/8/2010," R$ 1.200.000,00 ",Em licitação da obra
Saneamento,Barueri,Sabesp,Ampliação do SAA no Setor Tamboré,1/8/2010," R$ 4.700.000,00 ",Em Obra
Saneamento,Barueri,Sabesp,"Ampliação do SES na sede municipal - coletores-tronco Maria Helena e Dom José, estação elevatória de esgotos e linha de recalque",fev/07," R$ 12.548.600,00 ",Em Obra
Saneamento,Barueri,Sabesp,Implantação do SES - ETE Aldeia da Serra,fev/07," R$ 9.517.700,00 ",Em Obra
Saneamento,Bauru,Município,Ampliação do SES - implantação da ETE Vargem Limpa no Distrito Industrial I,set/09," R$ 86.621.700,00 ",Em Contratação
Saneamento,Bauru,Município,Drenagem - execução de barragem de detenção e urbanização no Córrego Água do Sobrado,6/9/2010," R$ 4.328.500,00 ",Ação Preparatória
Saneamento,Bauru,Município,Drenagem - transposição do Córrego Barreirinho e interligação de bairros,6/9/2010," R$ 1.834.500,00 ",Ação Preparatória
Saneamento,Bertioga,Sabesp,"Ampliação do SES - bairros Jardim São Raphael, Vista Alegre e Vista Linda",1/8/2010," R$ 11.542.100,00 ",Ação Preparatória
Saneamento,Bertioga,Sabesp,"Ampliação do SES - bairros Rio da Praia, Canções e Albatroz II",1/8/2010," R$ 11.525.600,00 ",Ação Preparatória
Saneamento,Bertioga,Sabesp,Ampliação do SES na sede municipal - Sistema B,set/09," R$ 52.008.200,00 ",Em Contratação
Saneamento,Bragança Paulista,Sabesp,Implantação do SES - Bairro São Miguel,1/8/2010," R$ 7.760.000,00 ",Ação Preparatória
Saneamento,Cabreúva,Município,Drenagem - execução de galerias de águas pluviais e urbanização na Bacia do Ribeirão Piraí,fev/07," R$ 4.602.500,00 ",Concluída
