Tipo,Município Beneficiado,Proponente,Tipo,Data de seleção,,Estágio
Saneamento,Americana,Município,Ampliação do SES do Distrito Industrial,6/7/2010,1083300,Em Obra
Saneamento,Americana,Município,"Ampliação do SES nos bairros Vila Medon, Residencial Nardini, Centro, Brasília e Jardim São Paulo",6/7/2010,4432000,Em Obra
Saneamento,Americana,Município,Drenagem - execução da retificação e canalização do Córrego do Parque,6/9/2010,30127400,Em Contratação
Saneamento,Americana,Município,Drenagem - execução de canalização do Córrego São Manoel - trecho entre a Avenida Paschoal Ardito e a Avenida São Gabriel,6/9/2010,8900000,Em Contratação
Saneamento,Americana,Município,"Drenagem - execução de canalização do Córrego do Pyles, afluente do Ribeirão do Quilombo",6/9/2010,14813900,Em Contratação
Saneamento,Americana,Município,Drenagem - implantação do parque linear às margens do Ribeirão Quilombo,6/9/2010,12339800,Em Contratação
Saneamento,Arapeí,Sabesp,Ampliação do SES- rede coletora e implantação de ETE - sede municipal,fev/07,4591300,Em Obra
Saneamento,Araraquara,Município,Ampliação do SAA na sede municipal - ampliação do sistema de produção de água de Poço do Ouro,6/7/2010,5011200,Em Obra
Saneamento,Araraquara,Município,Ampliação do SAA na sede municipal - implantação do sistema de tratamento de lodo da ETA Fonte,6/7/2010,1396100,Concluída
Saneamento,Araraquara,Município,"Ampliação do SAA no Portal das Laranjeiras, Cociza, Idanorma, Distrito Industrial, Omar Maksoud e Chácara Flora - rede de distribuição de água",6/7/2010,1968500,Concluída
Saneamento,Araraquara,Município,"Ampliação do SES no Portal das Laranjeiras, Cociza, Idanorma, Distrito Industrial, Omar Maksoud e Chácara Flora - rede coletora de esgotos",6/7/2010,2873400,Em Obra
Saneamento,Araraquara,Município,Melhoria e ampliação da ETE Araraquara,6/7/2010,4335800,Em Obra
Saneamento,Arujá,Sabesp,Ampliação do SAA na sede municipal - estação elevatória e rede de distribuição de água,1/8/2010,2741000,Em licitação da obra
Saneamento,Arujá,Sabesp,"Implantação do SES no Bairro Jardim Pinheiro - redes coletoras, ligações e coletor-tronco",1/8/2010,3829900,Em Obra
Saneamento,Arujá,Município,Resíduos Sólidos - construção e equipamentos para galpão de triagem para catadores,ago/08,327900,Ação Preparatória
Saneamento,Assis,Sabesp,Ampliação do SES - ETE Jacu - sede municipal,1/8/2010,1155000,Em licitação da obra
Saneamento,Assis,Município,"Drenagem - canalização de córregos e galerias de águas pluviais no Jardim Eldorado, Jardim Amaury, Jardim San Fernando Valley, área Central, Assis III e Assis IV",fev/07,14934100,Em Obra
Saneamento,Atibaia,Município,"Adequação do SAA na sede municipal para controle de perdas - cadastro técnico, limpeza e substituição de tubulação",1/8/2010,1000000,Em licitação da obra
Saneamento,Atibaia,Município,Ampliação do SAA - implantação da ETA do sistema central e adutora de água bruta,set/09,29053100,Em Contratação
Saneamento,Atibaia,Município,"Ampliação do SAA no Bairro do Portão - reservatório, rede, estação elevatória de água",1/8/2010,700000,Em licitação da obra
Saneamento,Atibaia,Município,"Ampliação do SES no Bairro Caetetuba - ETE Caetetuba, coletor-tronco, ligaçõe prediais",1/8/2010,8100000,Ação Preparatória
Saneamento,Atibaia,Município,"Drenagem - execução de canalização dos córregos Estoril, Feira Permanente e Pintos II",fev/07,4531000,Em Obra
Saneamento,Atibaia,Município,Elaboração do plano municipal de saneamento,1/8/2010,400000,Em licitação da obra
Saneamento,Atibaia,Município,Resíduos Sólidos - obras e serviços na central de triagem e transbordo de resíduos sólidos,1/8/2010,1850000,Em Obra
Saneamento,Avaré,Sabesp,Ampliação do SAA - perfuração de poço profundo - Poço P10,1/8/2010,1200000,Em licitação da obra
Saneamento,Barueri,Sabesp,Ampliação do SAA no Setor Tamboré,1/8/2010,4700000,Em Obra
Saneamento,Barueri,Sabesp,"Ampliação do SES na sede municipal - coletores-tronco Maria Helena e Dom José, estação elevatória de esgotos e linha de recalque",fev/07,12548600,Em Obra
Saneamento,Barueri,Sabesp,Implantação do SES - ETE Aldeia da Serra,fev/07,9517700,Em Obra
Saneamento,Bauru,Município,Ampliação do SES - implantação da ETE Vargem Limpa no Distrito Industrial I,set/09,86621700,Em Contratação
Saneamento,Bauru,Município,Drenagem - execução de barragem de detenção e urbanização no Córrego Água do Sobrado,6/9/2010,4328500,Ação Preparatória
Saneamento,Bauru,Município,Drenagem - transposição do Córrego Barreirinho e interligação de bairros,6/9/2010,1834500,Ação Preparatória
Saneamento,Bertioga,Sabesp,"Ampliação do SES - bairros Jardim São Raphael, Vista Alegre e Vista Linda",1/8/2010,11542100,Ação Preparatória
Saneamento,Bertioga,Sabesp,"Ampliação do SES - bairros Rio da Praia, Canções e Albatroz II",1/8/2010,11525600,Ação Preparatória
Saneamento,Bertioga,Sabesp,Ampliação do SES na sede municipal - Sistema B,set/09,52008200,Em Contratação
Saneamento,Bragança Paulista,Sabesp,Implantação do SES - Bairro São Miguel,1/8/2010,7760000,Ação Preparatória
Saneamento,Cabreúva,Município,Drenagem - execução de galerias de águas pluviais e urbanização na Bacia do Ribeirão Piraí,fev/07,4602500,Concluída
Saneamento,Caieiras,Sabesp,"Ampliação do SES - Sistema Isolado Extremo Norte - ETE Caieras, rede coletora de esgotos e interceptores",1/8/2010,30000000,Ação Preparatória
Saneamento,Caieiras,Essencis Soluções Ambientais s/A,Resíduos Sólidos - ampliação de aterro sanitário e obras de melhorias operacionais da Central de Tratamento de Resíduos Caieiras,dez/08,19068400,Concluída
Saneamento,Campinas,Sanasa,Ampliação do SES - implantação da ETE Boa Vista na margem esquerda do Córrego Boa Vista,set/09,36506500,Em Contratação
Saneamento,Campinas,Município,Drenagem - execução de canais e reservatórios de amortecimento,6/9/2010,37936400,Ação Preparatória
