Código do Municipio,Mesorregião,Nome_Mesorregião,Microrregião,Nome_Microrregião,Cidade,UF,1970,1980,1991,2000,2007,População,Homens,Mulheres,Urbana,Rural,Crescimento anual desde 2000
3500105,3508,Presidente Prudente,35035,Adamantina,Adamantina,SP,31798,32049,32091,33497,33289,33797,16375,17422,31948,1849,0.09%
3500204,3501,São José do Rio Preto,35004,São José do Rio Preto,Adolfo,SP,3969,3607,3272,3684,3609,3557,1787,1770,3200,357,-0.35%
3500303,3507,Campinas,35029,Pirassununga,Aguaí,SP,13171,17056,23363,28195,30181,32168,16224,15944,29021,3147,1.33%
3500402,3507,Campinas,35030,São João da Boa Vista,Águas da Prata,SP,5876,5717,6692,7131,7367,7580,3742,3838,6766,814,0.61%
3500501,3507,Campinas,35033,Amparo,Águas de Lindóia,SP,6732,9161,11966,16190,15867,17261,8453,8808,17108,153,0.64%
3500550,3504,Bauru,35022,Avaré,Águas de Santa Bárbara,SP,4723,4632,6049,5224,5360,5598,2777,2821,4256,1342,0.69%
3500600,3506,Piracicaba,35028,Piracicaba,Águas de São Pedro,SP,830,1091,1697,1883,2340,2703,1257,1446,2703,0,3.68%
3500709,3504,Bauru,35020,Bauru,Agudos,SP,18543,24478,31706,32484,34221,34532,17086,17446,32999,1533,0.61%
3500758,3511,Itapetininga,35042,Itapetininga,Alambari,SP,,,,3650,4070,4886,2457,2429,3672,1214,2.96%
3500808,3508,Presidente Prudente,35036,Presidente Prudente,Alfredo Marcondes,SP,6867,4309,3493,3697,3851,3891,1980,1911,3255,636,0.51%
3500907,3501,São José do Rio Preto,35004,São José do Rio Preto,Altair,SP,2527,2318,3239,3530,3272,3814,2051,1763,3022,792,0.78%
3501004,3502,Ribeirão Preto,35015,Batatais,Altinópolis,SP,10819,12743,13642,15481,15139,15609,7802,7807,13643,1966,0.08%
3501103,3503,Araçatuba,35018,Birigui,Alto Alegre,SP,7473,6080,4787,4261,4157,4105,2109,1996,3237,868,-0.37%
3501152,3512,Macro Metropolitana Paulista,35046,Sorocaba,Alumínio,SP,,,,15252,15678,16845,8502,8343,14130,2715,1.00%
3501202,3501,São José do Rio Preto,35003,Votuporanga,Álvares Florence,SP,8334,6588,5050,4316,3902,3901,2001,1900,2652,1249,-1.01%
3501301,3508,Presidente Prudente,35036,Presidente Prudente,Álvares Machado,SP,17305,14653,18865,22661,22859,23506,11633,11873,21180,2326,0.37%
3501400,3509,Marília,35038,Marília,Álvaro de Carvalho,SP,4200,3919,3133,4109,4610,4650,2959,1691,2952,1698,1.24%
3501509,3509,Marília,35038,Marília,Alvinlândia,SP,3020,3461,2541,2837,2787,3000,1482,1518,2693,307,0.56%
3501608,3507,Campinas,35032,Campinas,Americana,SP,66316,121998,153840,182593,199094,210701,103200,107501,209717,984,1.44%
3501707,3505,Araraquara,35024,Araraquara,Américo Brasiliense,SP,5368,11864,20067,28287,31005,34522,17362,17160,34261,261,2.01%
3501806,3501,São José do Rio Preto,35003,Votuporanga,Américo de Campos,SP,6148,6874,5590,5594,5379,5706,2862,2844,4788,918,0.20%
3501905,3507,Campinas,35033,Amparo,Amparo,SP,31908,41603,50797,60404,62692,65836,32444,33392,51818,14018,0.86%
3502002,3505,Araraquara,35025,São Carlos,Analândia,SP,2612,2312,3020,3582,4166,4289,2197,2092,3401,888,1.82%
3502101,3503,Araçatuba,35016,Andradina,Andradina,SP,51688,47664,52409,55161,54753,55317,27185,28132,51629,3688,0.03%
3502200,3511,Itapetininga,35042,Itapetininga,Angatuba,SP,15170,17052,21127,19297,21523,22211,11246,10965,15954,6257,1.42%
3502309,3504,Bauru,35023,Botucatu,Anhembi,SP,3517,3458,3537,4535,5271,5648,2908,2740,4263,1385,2.22%
3502408,3508,Presidente Prudente,35036,Presidente Prudente,Anhumas,SP,5609,3421,3242,3411,3695,3738,1863,1875,3059,679,0.92%
3502507,3513,Vale do Paraíba Paulista,35051,Guaratinguetá,Aparecida,SP,24669,29344,33247,34904,35903,35043,16918,18125,34534,509,0.04%
3502606,3501,São José do Rio Preto,35001,Jales,Aparecida d'Oeste,SP,7919,5148,5100,4935,4577,4444,2174,2270,3639,805,-1.04%
3502705,3511,Itapetininga,35044,Capão Bonito,Apiaí,SP,19635,26933,35185,27162,25463,25196,12579,12617,18226,6970,-0.75%
3502754,3512,Macro Metropolitana Paulista,35046,Sorocaba,Araçariguama,SP,,,,11154,12291,17085,8705,8380,11284,5801,4.36%
3502804,3503,Araçatuba,35017,Araçatuba,Araçatuba,SP,108512,129307,159557,169254,178839,181618,87337,94281,178118,3500,0.71%
3502903,3512,Macro Metropolitana Paulista,35046,Sorocaba,Araçoiaba da Serra,SP,6557,8539,14544,19816,24022,27323,13601,13722,18807,8516,3.26%
3503000,3502,Ribeirão Preto,35011,Ituverava,Aramina,SP,5042,3446,4064,4763,5019,5150,2587,2563,4811,339,0.78%
3503109,3504,Bauru,35022,Avaré,Arandu,SP,5239,4164,5620,6065,6013,6123,3088,3035,4614,1509,0.10%
3503158,3513,Vale do Paraíba Paulista,35052,Bananal,Arapeí,SP,,,,2618,2527,2492,1254,1238,1874,618,-0.49%
3503208,3505,Araraquara,35024,Araraquara,Araraquara,SP,100438,128122,166731,182471,195815,208725,100733,107992,202802,5923,1.35%
3503307,3506,Piracicaba,35027,Limeira,Araras,SP,53422,65010,87459,104196,108689,118898,58729,60169,112497,6401,1.33%
3503356,3509,Marília,35037,Tupã,Arco-Íris,SP,,,,2163,2003,1925,971,954,1097,828,-1.16%
3503406,3504,Bauru,35020,Bauru,Arealva,SP,6519,6788,6892,7244,7504,7842,3997,3845,6177,1665,0.80%
